character,wb
蒸,abio
蒸汽,"abir"
节省,"abit"
荪,"abiu"
节流,"abiy"
节,abj
节日,"abjj"
节电,"abjn"
藬,"abk"
警卫员,"abkm"
节略,"ablt"
茁,"abm"
邛崃,"abmg"
茁,abmj
芤,"abn"
芤,abnb
蒸发,"abnt"
节礼,"abpy"
蒸馏,"abqn"
菰,"abr"
节后,"abrg"
节操,"abrk"
节制,"abrm"
节气,"abrn"
节拍,"abrr"
菰,abry
蒸笼,"abtd"
蕯,"abtg"
萨特,"abtr"
萨,"abu"
节减,"abud"
节前,"abue"
茁壮,"abuf"
萨,abut
匜,"abv"
节录,"abvi"
欧阳修,"abwh"
节余,"abwt"
节俭,"abww"
节食,"abwy"
节约,"abxq"
节育,"abyc"
巧取豪夺,"abyd"
节哀,"abye"
节义,"abyq"
芭,"ac"
茎,"aca"
芭蕾,"acaf"
茅草,"acaj"
戒骄戒躁,"acak"
苔藓,"acaq"
芭蕉,"acaw"
芭,acb
芧,"acbj"
蓩,"acbl"
蓣,"acbm"
鶜,"acbo"
葇,"acbs"
茅,"acbt"
蔘,"acc"
茅厕,"acdm"
蓪,"ace"
茎干,"acfg"
茅坑,"acfy"
七台河,"acis"
苔,"ack"
苔,ackf
葈,"acks"
茅屋,"acng"
茅盾,"acrf"
荾,"acw"
莫桑比克,"acxd"
芆,"acy"
茅庐,"acyy"
基,"ad"
莽,"ada"
藏匿,"adaa"
萨克斯,"adad"
葳蕤,"adae"
藏龙卧虎,"adah"
菲薄,"adai"
莽,adaj
甚或,"adak"
苦功,"adal"
项英,"adam"
莽苍,"adaw"
葫芦,"aday"
苊,"adbb"
惹出,"adbm"
基隆,"adbt"
期限,"adbv"
苦劝,"adcl"
戎马,"adcn"
茇,"adcu"
苦难,"adcw"
欺骗,"adcy"
弎,"add"
基础,"addb"
欺压,"addf"
基石,"addg"
若非,"addj"
甚而,"addm"
茂盛,"addn"
莽原,"addr"
戎,"ade"
基肥,"adec"
葫,"adef"
甚且,"adeg"
苦胆,"adej"
藏胞,"adeq"
萇,"adeu"
苦,"adf"
莾,"adfa"
基地,"adfb"
项城,"adfd"
莀,"adfe"
蓐,"adff"
若干,"adfg"
惹起,"adfh"
萘,"adfi"
期刊,"adfj"
荂,"adfn"
敬而远之,"adfp"
莽夫,"adfw"
葳,"adg"
苦刑,"adga"
甚至,"adgc"
藏青,"adge"
基于,"adgf"
其一,"adgg"
勘正,"adgh"
惹事,"adgk"
董存瑞,"adgm"
期末,"adgs"
葳,adgt
葴,"adgt"
基础理论,"adgy"
荐,"adh"
欺瞒,"adha"
荐,adhb
葜,"adhd"
茬,"adhf"
项目,"adhh"
基督,"adhi"
基点,"adhk"
蒧,"adht"
蘴,"adhu"
蔧,"adhv"
期盼,"adhw"
藉,"adi"
期满,"adia"
苦水,"adii"
藉,adij
勘测,"adim"
苦学,"adip"
苦酒,"adis"
苦海,"adit"
苦涩,"adiv"
荐举,"adiw"
藕,"adiy"
菲,"adj"
菲,adjd
匪,"adjd"
斯时,"adjf"
若是,"adjg"
期日,"adjj"
菴,"adjn"
苦果,"adjs"
若,"adk"
鄀,"adkb"
若,adkf
其中,"adkh"
蠚,"adkj"
藏品,"adkk"
惹,"adkn"
逽,"adkp"
苈,"adl"
苈,adlb
基因,"adld"
基辅,"adlg"
苦思,"adln"
巧克力,"adlt"
项圈,"adlu"
项,"adm"
萳,"admf"
藉由,"admh"
荋,"admj"
虈,"admk"
蒇,"admt"
欺罔,"admu"
其内,"admw"
项,admy
茂,"adn"
基层,"adnf"
期收,"adnh"
左翼,"adnl"
藏书,"adnn"
茂,adnt
藏,"adnt"
苦恼,"adny"
蕨类,"adod"
基业,"adog"
惹火,"adoo"
世态炎凉,"adou"
基数,"adov"
荙,"adp"
藏宝,"adpg"
茂密,"adpn"
勘灾,"adpo"
其实,"adpu"
勘察,"adpw"
其它,"adpx"
惹祸,"adpy"
甚解,"adqe"
苦乐,"adqi"
茂名,"adqk"
项链,"adql"
欺负,"adqm"
基金,"adqq"
歁,"adqw"
蒝,"adr"
藏拙,"adrb"
苦瓜,"adrc"
其后,"adrg"
若有所思,"adrl"
勘探,"adrp"
若有所失,"adrr"
莽撞,"adru"
东奔西走,"adsf"
基本,"adsg"
勘查,"adsj"
东奔西跑,"adsk"
苦楚,"adss"
若要,"adsv"
藶,"adt"
藏私,"adtc"
戡乱,"adtd"
期待,"adtf"
欺生,"adtg"
苦处,"adth"
苦役,"adtm"
苦笑,"adtt"
蕨,"adu"
苦痛,"aduc"
苦头,"adud"
欺凌,"aduf"
期间,"aduj"
基部,"aduk"
苦闷,"adun"
其次,"aduq"
蕨,aduw
基准,"aduw"
项背,"adux"
甚好,"advb"
基建,"advf"
蕼,"advh"
藏娇,"advt"
其,"adw"
戡,"adwa"
其他,"adwb"
碁,"adwd"
期,"adwe"
基,adwf
基佬,"adwf"
若使,"adwg"
苦修,"adwh"
綦,"adwi"
勘,"adwl"
甚,"adwn"
工矿企业,"adwo"
夦,"adwq"
斯,"adwr"
若何,"adws"
其余,"adwt"
其,adwu
欺,"adww"
期货,"adwx"
諅,"adwy"
茏,"adx"
苦练,"adxa"
茏,adxb
藏经,"adxc"
期约,"adxq"
基诺,"adya"
苦读,"adyf"
藏语,"adyg"
苦衷,"adyk"
葢,"adyl"
基调,"adym"
期望,"adyn"
苦恋,"adyo"
欺诈,"adyt"
苦谛,"adyu"
斯文,"adyy"
菜,"ae"
藤鞭,"aeaf"
散落,"aeai"
菜蔬,"aean"
散花,"aeaw"
菜子,"aebb"
散出,"aebm"
蕦,"aed"
莫须有,"aede"
散布,"aedm"
藐,"aee"
薶,"aeef"
蒯,"aeej"
藐,aeeq
萲,"aef"
菜地,"aefb"
散去,"aefc"
藸,"aefj"
散场,"aefn"
苴,"aeg"
散开,"aega"
苴,aegf
菜豆,"aegk"
莇,"aegl"
其貌不扬,"aegr"
散步,"aehi"
散沙,"aeii"
散漫,"aeij"
菜油,"aeim"
散光,"aeiq"
苚,"aej"
散夥,"aejs"
菜叶,"aekf"
莻,"aekx"
荕,"aelb"
菜园,"aelf"
菜圃,"aelg"
菜鸭,"aelq"
散见,"aemq"
散居,"aend"
散发,"aent"
散心,"aeny"
菜农,"aepe"
蕣,"aeph"
薆,"aept"
蓫,"aepu"
藐视,"aepy"
葋,"aeq"
菜色,"aeqc"
菜肴,"aeqd"
菜馆,"aeqn"
菜鸟,"aeqy"
散兵,"aerg"
蘨,"aeri"
散播,"aert"
散热,"aerv"
散失,"aerw"
菜,aes
藤椅,"aesd"
菜,aesu
散,"aet"
散乱,"aetd"
葄,"aetf"
蕤,"aetg"
菜篮,"aetj"
蓝采和,"aetk"
蔿,"aeto"
藤条,"aets"
散,aety
藤,"aeu"
虅,"aeuc"
散装,"aeuf"
藤,aeui
菜单,"aeuj"
蕂,"aeul"
荽,"aev"
荽,aevf
菜刀,"aevn"
散会,"aewf"
散件,"aewr"
七月份,"aeww"
蒵,"aexd"
芨,"aey"
芨,aeyu
散文,"aeyy"
革,"af"
劳动节,"afab"
韄,"afac"
甘苦,"afad"
芫荽,"afae"
某某,"afaf"
若无其事,"afag"
韊,"afai"
甘草,"afaj"
鞳,"afak"
蒜苗,"afal"
蕡,"afam"
靾,"afan"
芙蓉,"afap"
鞋匠,"afar"
鞢,"afas"
蔷薇,"afat"
甘蔗,"afay"
邯,"afb"
鞋子,"afbb"
邯,afbh
革职,"afbk"
敬老院,"afbp"
革除,"afbw"
靶,"afc"
蓋,"afcl"
靶,afcn
鞍马,"afcn"
鞣,"afcs"
芸,"afcu"
靫,"afcy"
甘,"afd"
匹夫有责,"afdg"
薷,"afdj"
鞋面,"afdm"
戁,"afdn"
鞑,"afdp"
甘愿,"afdr"
鞋帮,"afdt"
靸,"afe"
蘎,"afec"
鞵,"afed"
某月,"afee"
靻,"afeg"
甘脆,"afeq"
鞖,"afev"
靸,afey
芏,"aff"
某地,"affb"
蕓,"affc"
鞋,"afff"
靯,"affg"
靬,"affh"
甘露,"affk"
韇,"affm"
靶场,"affn"
勒索,"affp"
蕘,"affq"
甘霖,"affs"
劳动者,"afft"
蔡元培,"affu"
靺,"afg"
菱形,"afga"
落井下石,"afgd"
莫过于,"afgf"
韁,"afgg"
鞋带,"afgk"
东南亚,"afgo"
劳动致富,"afgp"
勒死,"afgq"
靺,afgs
功亏一篑,"afgt"
鞆,"afgw"
針,"afh"
鞁,"afhc"
鞐,"afhh"
蒖,"afhw"
某些,"afhx"
蒜,"afi"
黄埔江,"afia"
芜湖,"afid"
鞘,"afie"
劳动法,"afif"
蒜,afii
甘露水,"afii"
鞝,"afik"
甘油,"afim"
蒜泥,"afin"
鞉,"afiq"
苿,"afiu"
甘当,"afiv"
莍,"afiy"
革,afj
芉,"afj"
勒紧,"afjc"
某时,"afjf"
靼,"afjg"
甘冒,"afjh"
某日,"afjj"
鞰,"afjl"
鞨,"afjn"
韅,"afjx"
勒,"afl"
鞇,"afld"
蕾,"aflf"
某甲,"aflh"
勒,afln
劳动力,"aflt"
贰,"afm"
鞅,"afmd"
萳,afmf
鞋帽,"afmh"
贰,afmi
鞍山,"afmm"
东南风,"afmq"
靹,"afmw"
苇,"afn"
芌,"afnb"
靵,"afnf"
苇,afnh
恭喜发财,"afnm"
著书,"afnn"
革履,"afnt"
甘心,"afny"
鞭炮,"afoq"
鞍,"afp"
鞚,"afpa"
荸,"afpb"
葧,"afpl"
黄埔军校,"afps"
著实,"afpu"
鞍,afpv
鞠,"afq"
芜,"afqb"
菱角,"afqe"
荺,"afqf"
著名,"afqk"
鞍钢,"afqm"
鞄,"afqn"
鞠,afqo
鞔,"afqq"
荺,afqu
莰,"afqw"
靳,"afr"
鞭挞,"afrd"
鞞,"afrf"
靳,afrh
某年,"afrh"
甘泉,"afri"
鞭打,"afrs"
鞡,"afru"
七十年代,"afrw"
某,"afs"
靪,"afsh"
韆,"afsp"
某,afsu
东南西北,"afsu"
著述,"afsy"
著,"aft"
鞭笞,"aftc"
甘甜,"aftd"
鞞,aftf
鞭策,"aftg"
著,aftj
某种,"aftk"
鞠躬,"aftm"
著称,"aftq"
荖,"aftx"
鞂,"afty"
蔷,"afu"
蕔,"afuc"
甘美,"afug"
邯郸,"afuj"
蔷,afuk
某部,"afuk"
薘,"afup"
革新,"afus"
蓻,"afuy"
鞀,"afv"
鞎,"afve"
甘肃,"afvi"
鞬,"afvp"
芜杂,"afvs"
靱,"afvy"
鞭,"afw"
七零八落,"afwa"
劳动保险,"afwb"
革命,"afwg"
某个,"afwh"
靲,"afwn"
荒无人烟,"afwo"
鞭,afwq
甘休,"afws"
著作,"afwt"
某人,"afww"
靴,"afwx"
勒令,"afwy"
靷,"afx"
鞃,"afxc"
莎士比亚,"afxg"
靷,afxh
靿,"afxl"
鞿,"afxt"
鞹,"afy"
鞟,"afyb"
蘾,"afye"
韀,"afyo"
蔜,"afyt"
或者说,"afyu"
七,"ag"
荆,"aga"
荆,agaj
茾,"agaj"
鷨,"agao"
茉莉,"agat"
葬花,"agaw"
芚,"agb"
邼,"agbh"
莱阳,"agbj"
荎,"agcf"
匡,"agd"
菾,"agdn"
莆,"age"
七月,"agee"
菁,"agef"
七彩,"ages"
巧用,"aget"
莆,agey
芋,"agf"
颟顸,"agfd"
七堵,"agff"
巧干,"agfg"
芋,agfj
七喜,"agfk"
苦不堪言,"agfy"
甚至于,"aggf"
七一,"aggg"
匡正,"aggh"
荆棘,"aggm"
划不来,"aggo"
廿,"agh"
廿,aghg
匸,"aghg"
艹,"aghh"
蔫,"agho"
芐,"aghu"
苤,"agi"
花天酒地,"agif"
苤,agig
薄一波,"agih"
芣,"agiu"
蕙,"agj"
蓴,"agjf"
荁,"agjg"
菜青虫,"agjh"
菄,"agji"
巧遇,"agjm"
蕙,agjn
莄,"agjq"
苹果,"agjs"
七星,"agjt"
蔌,"agk"
菫,"agkg"
蒚,"agkh"
蘁,"agkk"
葍,"agkl"
藾,"agkm"
虉,"agko"
藗,"agkp"
荳,"agku"
蔌,agkw
劻,"agl"
共青团,"aglf"
萰,"agli"
共青团员,"aglk"
莆田,"agll"
巧思,"agln"
荆轲,"agls"
黃,"aglw"
芾,"agm"
冓,"agmf"
芾,agmh
颟,"agmm"
蓛,"agmt"
苪,"agmw"
巧,"agn"
七情,"agng"
戈壁,"agnk"
巧,agnn
戈,"agnt"
弋,"agny"
莱,"ago"
莱,agou
七窍,"agpw"
葬礼,"agpy"
葬,"agq"
葬,agqa
七色,"agqc"
薞,"agqe"
塟,"agqf"
薤,"agqg"
茢,"agqj"
薚,"agqr"
蔜,agqt
匪夷所思,"agrl"
巧手,"agrt"
茉,"ags"
莱西,"agsg"
切不可,"agsk"
茉,agsu
廾,"agt"
董事长,"agta"
廾,agth
匡复,"agtj"
葬身,"agtm"
七律,"agtv"
苹,"agu"
药到病除,"agub"
葬送,"agud"
蕙兰,"aguf"
苹,aguh
荚,"aguw"
荆门,"aguy"
萋,"agv"
莖,"agva"
萐,"agvh"
巧妙,"agvi"
葝,"agvl"
萋,agvv
巧妇,"agvv"
薾,"agw"
董事会,"agwf"
巧合,"agwg"
蕐,"agwh"
荑,"agx"
荑,agxw
匤,"agy"
巧计,"agyf"
匤,agyi
荆州,"agyt"
巧言,"agyy"
牙,"ah"
蘧,"aha"
卧式,"ahaa"
蔖,"ahag"
萛,"ahaj"
蘆,"ahal"
萀,"aham"
藘,"ahan"
蘧,ahap
苜蓿,"ahap"
牙医,"ahat"
臣子,"ahbb"
雅观,"ahcm"
牙石,"ahdg"
繤,"ahdi"
卧龙,"ahdx"
臣服,"aheb"
苜,"ahf"
雅皮士,"ahfg"
雅趣,"ahfh"
基督教,"ahft"
雅致,"ahgc"
邪恶,"ahgo"
匷,"ahh"
雅虎,"ahha"
欺上瞒下,"ahhg"
牙齿,"ahhw"
菽,"ahi"
菽,ahic
邪淫,"ahie"
蘋,"ahim"
荹,"ahit"
茮,"ahiu"
雅兴,"ahiw"
雅量,"ahjg"
熙,"ahk"
苫,ahkf
雅号,"ahkg"
邪路,"ahkh"
颐,"ahkm"
巸,"ahkn"
煕,"ahko"
媐,"ahkv"
蓾,"ahlo"
雅典,"ahma"
邪见,"ahmq"
臣,"ahn"
臣民,"ahna"
孯,"ahnb"
臣,ahnh
卧,"ahnh"
牙刷,"ahnm"
工具书,"ahnn"
掔,"ahnr"
婜,"ahnv"
臥,"ahnw"
蔝,"ahou"
卧室,"ahpg"
雅安,"ahpv"
卧铺,"ahqg"
雅乐,"ahqi"
薒,"ahqo"
萈,"ahqy"
邪气,"ahrn"
熙攘,"ahry"
卧榻,"ahsj"
牙根,"ahsv"
牙,aht
邪,"ahtb"
牙,ahte
鸦,"ahtg"
鸦片,"ahth"
迓,"ahtp"
雅,"ahty"
牙痛,"ahuc"
牙关,"ahud"
卧病,"ahug"
节目单,"ahuj"
邪道,"ahut"
邪门,"ahuy"
藈,"ahwd"
卧倒,"ahwg"
雅人,"ahww"
邪念,"ahwy"
茈,"ahx"
茈,ahxb
萀,ahxm
牙膏,"ahyp"
卧底,"ahyq"
邪魔,"ahys"
邪说,"ahyu"
雅座,"ahyw"
东,"ai"
茳,"aia"
范式,"aiaa"
菠菜,"aiae"
茳,aiaf
茫茫,"aiai"
落幕,"aiaj"
蘫,"aial"
落英,"aiam"
菃,"aian"
东莞,"aiap"
东欧,"aiaq"
蕖,"aias"
落花,"aiaw"
勤学苦练,"aiax"
落荒,"aiay"
范,"aib"
范,aibb
东阳,"aibj"
医学院,"aibp"
东阿,"aibs"
菭,"aick"
落难,"aicw"
荣誉感,"aidg"
落在,"aidh"
东面,"aidm"
落成,"aidn"
菹,"aie"
薄膜,"aiea"
东鹏,"aiee"
落脚,"aief"
菹,aieg
萷,"aiej"
薄脆,"aieq"
蔆,"aif"
落地,"aifb"
落去,"aifc"
落款,"aiff"
落雨,"aifg"
东坡,"aifh"
东进,"aifj"
东南,"aifm"
薄雾,"aift"
蒙混过关,"aifu"
荒淫无度,"aify"
薄,"aig"
蔳,"aige"
薄,aigf
落下,"aigh"
东亚,"aigo"
东平,"aigu"
蒲,"aigy"
菠,"aih"
菠,aihc
蔢,"aihv"
东,aii
东江,"aiia"
东汉,"aiic"
东湖,"aiid"
落潮,"aiif"
落水,"aiii"
东渐,"aiil"
落泊,"aiir"
薄酒,"aiis"
莎,"aiit"
荡漾,"aiiu"
东兴,"aiiw"
东渡,"aiiy"
薄晓,"aija"
东盟,"aije"
落日,"aijj"
蕰,"aijl"
蕅,"aijy"
藻,"aik"
蒲吧,"aikc"
落叶,"aikf"
东吴,"aikg"
东路,"aikh"
藻,aiks
东川,"aikt"
范畴,"aild"
范围,"ailf"
东边,"ailp"
莈,"aimc"
东岸,"aimd"
东山,"aimm"
东风,"aimq"
落败,"aimt"
荡,"ain"
薄情,"aing"
荡,ainr
荧光屏,"ainu"
藻类,"aiod"
萤光灯,"aios"
莐,"aip"
落寞,"aipa"
东家,"aipe"
荡寇,"aipf"
东宫,"aipk"
莐,aipq
落实,"aipu"
落空,"aipw"
茪,"aiqb"
莈,aiqc
茫然,"aiqd"
藩镇,"aiqf"
鸫,"aiqg"
薄饼,"aiqn"
蒎,"air"
东瓜,"airc"
蒎,aire
萡,"airf"
落后,"airg"
落魄,"airr"
东势,"airv"
菏,"ais"
东西,"aisg"
薸,"aisi"
菏,aisk
落枕,"aisp"
薄板,"aisr"
萍水相逢,"aist"
落榜,"aisu"
汞柱,"aisy"
落,"ait"
东升,"aita"
萿,"aitd"
荡船,"aite"
落选,"aitf"
薄惩,"aitg"
薄片,"aith"
落得,"aitj"
落,aitk
藩,"aitl"
落笔,"aitt"
落入,"aity"
汞,"aiu"
蓱,"aiua"
落差,"aiud"
艾滋病,"aiug"
落单,"aiuj"
东部,"aiuk"
荣誉奖,"aiuq"
东道,"aiut"
东北,"aiux"
东门,"aiuy"
蓡,"aivc"
菬,"aivk"
蒅,"aivs"
匯,"aiw"
落伍,"aiwg"
蕍,"aiwj"
蒤,"aiwt"
蒞,"aiwu"
东经,"aixc"
藏污纳垢,"aixf"
薄纱,"aixi"
薄纸,"aixq"
萍乡,"aixt"
薄弱,"aixu"
茫,"aiy"
蒗,"aiye"
东京,"aiyi"
薃,"aiyk"
茫,aiyn
落户,"aiyn"
蓅,"aiyq"
东施,"aiyt"
落座,"aiyw"
东方,"aiyy"
划,"aj"
萌芽,"ajaa"
草莽,"ajad"
蔓藤,"ajae"
草鞋,"ajaf"
墓葬,"ajag"
蓝牙,"ajah"
菖蒲,"ajai"
草草,"ajaj"
草菅,"ajap"
草莓,"ajat"
莫明其妙,"ajav"
草药,"ajax"
蕞,"ajb"
蕞,ajbc
划出,"ajbm"
莫,"ajd"
鄚,"ajdb"
蓦,"ajdc"
莫大,"ajdd"
墓,"ajdf"
幕,"ajdh"
暮,"ajdj"
募,"ajdl"
幕布,"ajdm"
慕,"ajdn"
墓碑,"ajdr"
莫,ajdu
謩,"ajdy"
萌,"aje"
莫须,"ajed"
萌,ajef
昔,"ajf"
草地,"ajfb"
萌动,"ajfc"
募款,"ajff"
草坪,"ajfg"
萌起,"ajfh"
墓志,"ajfn"
莫过,"ajfp"
莳,"ajfu"
草堆,"ajfw"
暮霭,"ajfy"
划开,"ajga"
草屯,"ajgb"
蓝天,"ajgd"
划一,"ajgg"
莫不,"ajgi"
蓝带,"ajgk"
划,ajh
草皮,"ajhc"
萺,"ajhf"
蓝点,"ajhk"
蓄电池,"ajib"
划清,"ajig"
草堂,"ajip"
草,"ajj"
昔时,"ajjf"
草虾,"ajjg"
剒,"ajjh"
昔日,"ajjj"
世易时移,"ajjt"
划归,"ajjv"
蔓,"ajl"
蔓,ajlc
墓园,"ajlf"
蓝田,"ajll"
草图,"ajlt"
划界,"ajlw"
萬,"ajm"
七星岩,"ajmd"
草帽,"ajmh"
花果山,"ajmm"
萬,ajmy
莫怪,"ajnc"
草书,"ajnn"
萌发,"ajnt"
蓝屏,"ajnu"
草类,"ajod"
草料,"ajou"
草写,"ajpg"
草案,"ajpv"
墓穴,"ajpw"
葛,"ajq"
蓝色,"ajqc"
蓦然,"ajqd"
鹊,"ajqg"
莫名,"ajqk"
葛,ajqn
草包,"ajqn"
蓝鸟,"ajqy"
斮,"ajr"
幕后,"ajrg"
昔年,"ajrh"
募捐,"ajrk"
摹拟,"ajrn"
黄果树,"ajsc"
黄果树瀑布,"ajsd"
草棚,"ajse"
草本,"ajsg"
草木,"ajss"
鹊桥,"ajst"
菒,"ajsu"
草根,"ajsv"
蓝,"ajt"
惹是生非,"ajtd"
划船,"ajte"
葃,"ajtf"
划策,"ajtg"
划算,"ajth"
七日香,"ajtj"
蓝,ajtl
莫管,"ajtp"
草签,"ajtw"
草稿,"ajty"
茧,"aju"
莫逆,"ajub"
划拳,"ajud"
斯里兰卡,"ajuh"
莫道,"ajut"
郾,"ajv"
郾,ajvb
匽,"ajvd"
鹊巢,"ajvj"
莫如,"ajvk"
鶠,"ajvo"
草创,"ajwb"
幕僚,"ajwd"
划分,"ajwv"
草丛,"ajww"
摹仿,"ajwy"
菎,"ajx"
草绳,"ajxk"
草约,"ajxq"
划为,"ajyl"
莫说,"ajyu"
草率,"ajyx"
或,"ak"
莴苣,"akaa"
勤苦,"akad"
勤劳,"akap"
葺,"akb"
葺,akbf
蕺,"akbt"
叵,"akd"
勤奋,"akdl"
莒县,"akeg"
歎,"akf"
艱,"akfe"
菋,"akfi"
囏,"akfk"
或者,"akft"
臡,"akfw"
或,akg
鄞,"akgb"
或,akgd
彧,"akge"
堇,"akgf"
勤政,"akgh"
勤,"akgl"
惑,"akgn"
觐,"akgq"
斳,"akgr"
歏,"akgw"
匮,"akh"
蕗,"akhk"
匮,akhm
莡,"akhu"
甚嚣尘上,"akih"
苦口婆心,"akin"
勤学,"akip"
莒光,"akiq"
或是,"akjg"
颧,"akk"
酄,"akkb"
莒,"akkf"
鹳,"akkg"
勸,"akkl"
颧,akkm
萼,"akkn"
雚,"akky"
莂,"aklj"
莴,"akm"
颧骨,"akme"
或则,"akmj"
觐见,"akmq"
蒷,"akmu"
莴,akmw
勤快,"aknn"
其中之一,"akpg"
勤勉,"akqk"
勤朴,"aksh"
切中要害,"aksp"
勤务,"aktl"
匮乏,"aktp"
莴笋,"aktv"
勤恳,"akve"
荶,"akw"
蓶,"akwg"
勤俭,"akww"
蓶,akwy
或许,"akyt"
功,"al"
匣式,"alaa"
功臣,"alah"
菌落,"alai"
功劳,"alap"
苏区,"alaq"
莲蓬,"alat"
莲花,"alaw"
艻,"alb"
茄子,"albb"
蘻,"albi"
苏联,"albu"
功能,"alce"
莲台,"alck"
世界观,"alcm"
藣,"alcx"
茵,"ald"
蘮,"aldj"
蒽,"aldn"
雅加达,"aldp"
蔑,"aldt"
茵,aldu
苏秦,"aldw"
功用,"alet"
苗,"alf"
薯,"alfj"
苏南,"alfm"
功过,"alfp"
功夫,"alfw"
葨,"alg"
苏武,"alga"
萝卜,"alhh"
莲池,"alib"
功法,"alif"
荔浦,"alig"
苏澳,"alit"
荔湾,"aliy"
莗,"alj"
匣,"alk"
茄,"alkf"
功勋,"alkm"
荔,"all"
苏轼,"alla"
莮,"allb"
蘲,"allf"
苗圃,"allg"
虆,"alli"
荔,alll
藟,"alll"
莮,allr
蘽,"alls"
功力,"allt"
苗岭,"almw"
苏丹,"almy"
功,aln
欺软怕硬,"alnd"
葸,"alnu"
菌类,"alod"
功业,"alog"
莲,"alp"
薎,"alpa"
鄸,"alpb"
蘉,"alpc"
瞢,"alph"
顭,"alpm"
甍,"alpn"
夢,"alpq"
莲,alpu
薨,"alpx"
蔑视,"alpy"
萝,"alq"
鹋,"alqg"
薥,"alqj"
功名,"alqk"
萝,alqu
蔪,"alrj"
苏打,"alrs"
荔枝,"alsf"
苏醒,"alsg"
芝加哥,"alsk"
菌株,"alsr"
苏杭,"alsy"
菌,"alt"
功德,"altf"
功利,"altj"
菌种,"altk"
苗条,"alts"
菌,altu
蔨,"alub"
苗头,"alud"
功效,"aluq"
苏北,"alux"
匦,"alv"
匦,alvv
苏,"alw"
薯仔,"alwb"
莔,"alwm"
苏俄,"alwt"
苏,alwu
苗人,"alww"
苗疆,"alxf"
功绩,"alxg"
蔂,"alxi"
苏绣,"alxt"
菌丝,"alxx"
藅,"aly"
世界语,"alyg"
功课,"alyj"
功底,"alyq"
功放,"alyt"
莲座,"alyw"
功率,"alyx"
贡,"am"
蕽,"amae"
黄莲,"amal"
黄莺,"amap"
黄花,"amaw"
芁,"amb"
贡院,"ambp"
恐防,"amby"
芟,"amc"
英勇,"amce"
芟,amcu
黄骅,"amcw"
英,"amd"
英雄,"amdc"
黄石,"amdg"
鶧,"amdo"
英,amdu
英磅,"amdu"
恐龙,"amdx"
蓇,"ame"
苒,"amf"
英魂,"amfc"
黄土,"amff"
英寸,"amfg"
黄坡,"amfh"
贡献,"amfm"
英才,"amft"
巬,"amfw"
茼,"amg"
英武,"amga"
